date,ticker,name,open,high,low,close,volume,return
2017-06-07,KOSDAQ,KOSDAQ 종합지수,664.0700073242188,666.5800170898438,661.0999755859375,666.4600219726562,790900,0.006250776969826344
2017-06-08,KOSDAQ,KOSDAQ 종합지수,668.25,670.0499877929688,667.0,669.969970703125,672800,0.005266555554344743
2017-06-09,KOSDAQ,KOSDAQ 종합지수,672.1400146484375,674.1500244140625,671.2000122070312,674.1500244140625,623300,0.00623916577417738
2017-06-12,KOSDAQ,KOSDAQ 종합지수,672.0900268554688,672.1199951171875,664.1199951171875,664.8599853515625,579500,-0.013780373397708323
2017-06-13,KOSDAQ,KOSDAQ 종합지수,666.0700073242188,669.260009765625,666.0700073242188,669.22998046875,626900,0.0065728051220841355
2017-06-14,KOSDAQ,KOSDAQ 종합지수,673.02001953125,674.3599853515625,670.260009765625,671.5900268554688,645500,0.0035265102514769886
2017-06-15,KOSDAQ,KOSDAQ 종합지수,672.969970703125,673.0999755859375,664.989990234375,669.8200073242188,672700,-0.0026355655391989696
2017-06-16,KOSDAQ,KOSDAQ 종합지수,670.77001953125,670.8200073242188,667.72998046875,670.7000122070312,608300,0.0013137930685707122
2017-06-19,KOSDAQ,KOSDAQ 종합지수,672.719970703125,675.7100219726562,672.25,675.4400024414062,580100,0.007067228489794353
2017-06-20,KOSDAQ,KOSDAQ 종합지수,678.719970703125,678.8200073242188,669.4099731445312,669.4099731445312,734000,-0.008927557259089225
2017-06-21,KOSDAQ,KOSDAQ 종합지수,668.4099731445312,668.4400024414062,662.6799926757812,665.77001953125,616000,-0.005437555099728653
2017-06-22,KOSDAQ,KOSDAQ 종합지수,667.989990234375,668.3599853515625,663.260009765625,663.280029296875,700700,-0.003740015562923915
2017-06-23,KOSDAQ,KOSDAQ 종합지수,665.1900024414062,669.0499877929688,665.02001953125,668.9299926757812,560300,0.008518217237590608
2017-06-26,KOSDAQ,KOSDAQ 종합지수,670.5900268554688,670.780029296875,667.7100219726562,668.3599853515625,586200,-0.0008521180548933804
2017-06-27,KOSDAQ,KOSDAQ 종합지수,671.7000122070312,673.1300048828125,670.8699951171875,672.6300048828125,639700,0.006388801880477635
2017-06-28,KOSDAQ,KOSDAQ 종합지수,671.260009765625,672.3599853515625,665.8900146484375,665.8900146484375,601800,-0.010020353218630595
2017-06-29,KOSDAQ,KOSDAQ 종합지수,670.0999755859375,670.5599975585938,666.0,668.0,515400,0.0031686694576378294
2017-06-30,KOSDAQ,KOSDAQ 종합지수,665.6699829101562,669.1199951171875,665.5700073242188,669.0399780273438,511600,0.0015568533343468527
2017-07-03,KOSDAQ,KOSDAQ 종합지수,671.1699829101562,671.1699829101562,660.0399780273438,660.969970703125,560800,-0.012062070413210724
2017-07-04,KOSDAQ,KOSDAQ 종합지수,662.1699829101562,663.8499755859375,654.0599975585938,656.1900024414062,735100,-0.007231747997013982
2017-07-05,KOSDAQ,KOSDAQ 종합지수,657.7000122070312,661.5800170898438,657.6900024414062,661.5399780273438,565100,0.008153089144961712
2017-07-06,KOSDAQ,KOSDAQ 종합지수,663.7899780273438,665.0499877929688,662.6699829101562,663.7899780273438,555500,0.0034011549940025088
2017-07-07,KOSDAQ,KOSDAQ 종합지수,662.6599731445312,664.2899780273438,660.989990234375,663.77001953125,551500,-3.006748633516132e-05
2017-07-10,KOSDAQ,KOSDAQ 종합지수,666.1900024414062,666.1900024414062,657.6699829101562,657.8599853515625,512900,-0.008903737749199836
2017-07-11,KOSDAQ,KOSDAQ 종합지수,659.27001953125,659.9099731445312,654.5,656.010009765625,542000,-0.0028121114327220864
2017-07-12,KOSDAQ,KOSDAQ 종합지수,657.0599975585938,657.9000244140625,651.0900268554688,651.0999755859375,586100,-0.007484693993376257
2017-07-13,KOSDAQ,KOSDAQ 종합지수,654.010009765625,655.1599731445312,651.5999755859375,652.6900024414062,490900,0.0024420625327743473
2017-07-14,KOSDAQ,KOSDAQ 종합지수,654.239990234375,655.4500122070312,651.27001953125,654.1099853515625,533500,0.0021755855074303554
2017-07-17,KOSDAQ,KOSDAQ 종합지수,656.969970703125,659.8900146484375,656.969970703125,659.8900146484375,415400,0.008836479225689198
2017-07-18,KOSDAQ,KOSDAQ 종합지수,661.1599731445312,664.0399780273438,661.1599731445312,664.02001953125,570300,0.006258626121222299
2017-07-19,KOSDAQ,KOSDAQ 종합지수,666.2999877929688,671.530029296875,666.2999877929688,671.530029296875,500900,0.011309914678365507
